prompt_id,category,category_label,length_level,has_context,has_constraints,role,role_text,context_text,constraints_text,template_text,variable_values,expected_response_type,prompt_text,char_count,word_count,sentence_count,prompt_line_count,prompt_paragraph_count,has_question_form,has_role,has_format_instruction,has_code_in_prompt,constraint_count,instruction_count,directive_words_count,technical_terms_count,structure_score,specificity_score,created_at
48cf12d0-0d8b-4071-980f-d5dcecf9fbb5,code_generation,Генерация кода,short,0,0,none,,,,"Напиши функцию на Python, которая {task}.","{""task"": ""сортирует список чисел по возрастанию""}",code,"Напиши функцию на Python, которая сортирует список чисел по возрастанию.

Ответ должен быть кратким.",100,14,2,2,2,0,0,0,0,0,1,1,2,0.3,0.25,2026-04-25T14:27:52+00:00
25fd5172-edaf-45fd-809d-dcb22754ac31,code_generation,Генерация кода,short,0,0,python_developer,Ты Python-разработчик.,,,Реализуй на Python решение задачи: {task}.,"{""task"": ""проверяет, является ли строка палиндромом""}",code,"Ты Python-разработчик.

Реализуй на Python решение задачи: проверяет, является ли строка палиндромом.

Ответ должен быть кратким.",129,17,3,3,3,0,1,0,0,0,1,1,3,0.5,0.25,2026-04-25T14:27:52+00:00
27cefcbb-88b0-4632-9ceb-2fd906ce4422,code_generation,Генерация кода,short,0,0,qa_engineer,Ты QA-инженер.,,,"Напиши функцию на Python, которая {task}.","{""task"": ""подсчитывает количество слов в строке""}",code,"Ты QA-инженер.

Напиши функцию на Python, которая подсчитывает количество слов в строке.

Ответ должен быть кратким.",116,17,3,3,3,0,1,0,0,0,1,1,1,0.5,0.25,2026-04-25T14:27:52+00:00
8e562bca-b235-453f-b223-3f75ce7530ff,code_generation,Генерация кода,short,0,0,computer_science_teacher,Ты преподаватель информатики.,,,"Напиши функцию на Python, которая {task}.","{""task"": ""находит максимальный элемент в списке""}",code,"Ты преподаватель информатики.

Напиши функцию на Python, которая находит максимальный элемент в списке.

Ответ должен быть кратким.",131,17,3,3,3,0,1,0,0,0,1,1,1,0.5,0.25,2026-04-25T14:27:52+00:00
b2916bb8-404a-425c-b23f-1e96b946339f,code_generation,Генерация кода,short,0,1,none,,,"Ограничения:
- Используй только стандартную библиотеку Python.
- Добавь комментарии к ключевым частям решения.",Реализуй на Python решение задачи: {task}.,"{""task"": ""сортирует список чисел по возрастанию""}",code,"Реализуй на Python решение задачи: сортирует список чисел по возрастанию.

Ограничения:
- Используй только стандартную библиотеку Python.
- Добавь комментарии к ключевым частям решения.

Ответ должен быть кратким.",213,26,4,5,3,0,0,1,0,5,2,3,3,0.85,0.7,2026-04-25T14:27:52+00:00
0489d218-765e-42b2-9815-fccfa55efa70,code_generation,Генерация кода,short,0,1,python_developer,Ты Python-разработчик.,,"Ограничения:
- Не используй внешние зависимости.
- Добавь комментарии к ключевым частям решения.","Напиши функцию на Python, которая {task}.","{""task"": ""проверяет, является ли строка палиндромом""}",code,"Ты Python-разработчик.

Напиши функцию на Python, которая проверяет, является ли строка палиндромом.

Ограничения:
- Не используй внешние зависимости.
- Добавь комментарии к ключевым частям решения.

Ответ должен быть кратким.",226,28,5,6,4,0,1,1,0,5,2,3,3,0.85,0.7,2026-04-25T14:27:52+00:00
ed7361ee-30e7-484d-8a3d-d145f6a405d9,code_generation,Генерация кода,short,0,1,qa_engineer,Ты QA-инженер.,,"Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.","Напиши функцию на Python, которая {task}.","{""task"": ""считывает JSON-файл и возвращает его содержимое""}",code,"Ты QA-инженер.

Напиши функцию на Python, которая считывает JSON-файл и возвращает его содержимое.

Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.

Ответ должен быть кратким.",231,29,5,6,4,0,1,0,0,5,1,3,3,0.85,0.55,2026-04-25T14:27:52+00:00
fef4d834-4cd1-4f11-bb71-53fd6478107e,code_generation,Генерация кода,short,0,1,computer_science_teacher,Ты преподаватель информатики.,,"Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.",Реализуй на Python решение задачи: {task}.,"{""task"": ""сортирует список чисел по возрастанию""}",code,"Ты преподаватель информатики.

Реализуй на Python решение задачи: сортирует список чисел по возрастанию.

Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.

Ответ должен быть кратким.",237,27,5,6,4,0,1,0,0,5,1,3,3,0.85,0.55,2026-04-25T14:27:52+00:00
bf21a020-8d2f-497b-bf33-3c36096a160e,code_generation,Генерация кода,short,1,0,none,,Это учебная задача для начинающего разработчика.,,Реализуй на Python решение задачи: {task}.,"{""task"": ""подсчитывает количество слов в строке""}",code,"Контекст: Это учебная задача для начинающего разработчика.

Реализуй на Python решение задачи: подсчитывает количество слов в строке.

Ответ должен быть кратким.",161,21,3,3,3,0,0,0,0,0,1,1,1,0.65,0.55,2026-04-25T14:27:52+00:00
e0b9e1cb-0dfe-471f-aef2-b9f110de64a2,code_generation,Генерация кода,short,1,0,python_developer,Ты Python-разработчик.,Это часть backend-сервиса.,,Реализуй на Python решение задачи: {task}.,"{""task"": ""находит максимальный элемент в списке""}",code,"Ты Python-разработчик.

Контекст: Это часть backend-сервиса.

Реализуй на Python решение задачи: находит максимальный элемент в списке.

Ответ должен быть кратким.",163,22,4,4,4,0,1,0,0,0,1,1,3,0.65,0.55,2026-04-25T14:27:52+00:00
8c5d4776-4a14-4f45-8229-26083f83dbc2,code_generation,Генерация кода,short,1,0,qa_engineer,Ты QA-инженер.,Это часть backend-сервиса.,,Реализуй на Python решение задачи: {task}.,"{""task"": ""находит максимальный элемент в списке""}",code,"Ты QA-инженер.

Контекст: Это часть backend-сервиса.

Реализуй на Python решение задачи: находит максимальный элемент в списке.

Ответ должен быть кратким.",155,22,4,4,4,0,1,0,0,0,1,1,2,0.65,0.55,2026-04-25T14:27:52+00:00
9211fd62-edef-4e58-be89-cd18e36501b1,code_generation,Генерация кода,short,1,0,computer_science_teacher,Ты преподаватель информатики.,Это учебная задача для начинающего разработчика.,,Реализуй на Python решение задачи: {task}.,"{""task"": ""объединяет два словаря""}",code,"Ты преподаватель информатики.

Контекст: Это учебная задача для начинающего разработчика.

Реализуй на Python решение задачи: объединяет два словаря.

Ответ должен быть кратким.",177,22,4,4,4,0,1,0,0,0,1,1,1,0.65,0.55,2026-04-25T14:27:52+00:00
322831c5-672e-4c35-b942-e91c086ba516,code_generation,Генерация кода,short,1,1,none,,Это часть backend-сервиса.,"Ограничения:
- Ответ должен быть понятен начинающему специалисту.
- Добавь комментарии к ключевым частям решения.",Реализуй на Python решение задачи: {task}.,"{""task"": ""находит максимальный элемент в списке""}",code,"Контекст: Это часть backend-сервиса.

Реализуй на Python решение задачи: находит максимальный элемент в списке.

Ограничения:
- Ответ должен быть понятен начинающему специалисту.
- Добавь комментарии к ключевым частям решения.

Ответ должен быть кратким.",254,32,5,6,4,0,0,1,0,4,2,2,2,1.0,0.9,2026-04-25T14:27:52+00:00
46d0ba59-661d-4d96-ab26-a1c92d229978,code_generation,Генерация кода,short,1,1,python_developer,Ты Python-разработчик.,Это утилита для автоматизации обработки данных.,"Ограничения:
- Не используй внешние зависимости.
- Добавь комментарии к ключевым частям решения.",Реализуй на Python решение задачи: {task}.,"{""task"": ""удаляет дубликаты из списка с сохранением порядка""}",code,"Ты Python-разработчик.

Контекст: Это утилита для автоматизации обработки данных.

Реализуй на Python решение задачи: удаляет дубликаты из списка с сохранением порядка.

Ограничения:
- Не используй внешние зависимости.
- Добавь комментарии к ключевым частям решения.

Ответ должен быть кратким.",294,37,6,7,5,0,1,1,0,5,2,3,2,1.0,0.9,2026-04-25T14:27:52+00:00
