answer_id,prompt_id,category,category_label,length_level,expected_response_type,has_context,has_constraints,role,role_text,context_text,constraints_text,template_text,variable_values,prompt_text,model_name,model_version,answer_text,generated_at,response_time_sec,char_count,text_char_count,text_word_count,text_ratio,word_count,sentence_count,paragraph_count,avg_sentence_length,list_count,has_code,code_block_count,code_line_count,code_char_count,code_ratio,has_function_def,has_import,has_assert,has_pytest,has_unittest,has_example,has_complexity,has_step_by_step,has_error_explanation,has_fixed_code,technical_terms_count,readability_score,lexical_diversity,structure_score,prompt_text_overlap,prompt_full_overlap,formal_clarity_score,formal_structure_score,formal_utility_score,formal_relevance_score,formal_total_score,task_score,judge_relevance,judge_completeness,judge_clarity,judge_logic,judge_utility,judge_comment,judge_total_score,final_score,length_match_score
71fc574f-08dc-4813-acfe-7c455f219893,48cf12d0-0d8b-4071-980f-d5dcecf9fbb5,code_generation,Генерация кода,short,code,0,0,none,,,,"Напиши функцию на Python, которая {task}.","{""task"": ""сортирует список чисел по возрастанию""}","Напиши функцию на Python, которая сортирует список чисел по возрастанию.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def sort_numbers(numbers):
    return sorted(numbers)
```",2026-04-25T17:48:57,0.9364,64,0,0,0.0,0,0,0,0.0,0,1,1,2,58,0.9062,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.28,0.3625,0.61,0.55,0.5165,,,,,,,,,,1.0
b333d6aa-73b0-4315-89d6-defd43f8da69,25fd5172-edaf-45fd-809d-dcb22754ac31,code_generation,Генерация кода,short,code,0,0,python_developer,Ты Python-разработчик.,,,Реализуй на Python решение задачи: {task}.,"{""task"": ""проверяет, является ли строка палиндромом""}","Ты Python-разработчик.

Реализуй на Python решение задачи: проверяет, является ли строка палиндромом.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def is_palindrome(s):
    return s == s[::-1]
```",2026-04-25T17:48:58,1.042,56,0,0,0.0,0,0,0,0.0,0,1,1,2,50,0.8929,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.28,0.3625,0.61,0.55,0.5165,,,,,,,,,,1.0
ff002152-20fe-4659-9ee8-c86c809dff1c,27cefcbb-88b0-4632-9ceb-2fd906ce4422,code_generation,Генерация кода,short,code,0,0,qa_engineer,Ты QA-инженер.,,,"Напиши функцию на Python, которая {task}.","{""task"": ""подсчитывает количество слов в строке""}","Ты QA-инженер.

Напиши функцию на Python, которая подсчитывает количество слов в строке.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def count_words(s):
    return len(s.split())
```",2026-04-25T17:48:59,0.9635,56,0,0,0.0,0,0,0,0.0,0,1,1,2,50,0.8929,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.28,0.3625,0.61,0.55,0.5165,,,,,,,,,,1.0
a7b6bb92-541b-42f4-888a-b01b533ef4fe,8e562bca-b235-453f-b223-3f75ce7530ff,code_generation,Генерация кода,short,code,0,0,computer_science_teacher,Ты преподаватель информатики.,,,"Напиши функцию на Python, которая {task}.","{""task"": ""находит максимальный элемент в списке""}","Ты преподаватель информатики.

Напиши функцию на Python, которая находит максимальный элемент в списке.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def max_element(lst):
    return max(lst)
```",2026-04-25T17:49:00,0.9251,52,0,0,0.0,0,0,0,0.0,0,1,1,2,46,0.8846,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.28,0.3625,0.61,0.55,0.5165,,,,,,,,,,1.0
1ac79baf-485f-456e-9db5-498209315aeb,b2916bb8-404a-425c-b23f-1e96b946339f,code_generation,Генерация кода,short,code,0,1,none,,,"Ограничения:
- Используй только стандартную библиотеку Python.
- Добавь комментарии к ключевым частям решения.",Реализуй на Python решение задачи: {task}.,"{""task"": ""сортирует список чисел по возрастанию""}","Реализуй на Python решение задачи: сортирует список чисел по возрастанию.

Ограничения:
- Используй только стандартную библиотеку Python.
- Добавь комментарии к ключевым частям решения.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
numbers = [6, 2, 4, 1, 5, 3]  # исходный список чисел

# Сортировка списка по возрастанию с использованием встроенной функции sorted()
sorted_numbers = sorted(numbers)

print(sorted_numbers)  # вывод отсортированного списка
```",2026-04-25T17:49:01,1.6712,238,0,0,0.0,0,0,0,0.0,0,1,1,4,232,0.9748,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.16,0.35,0.3825,0.51,0.67,0.5408,,,,,,,,,,1.0
e6034e09-3e05-4ff9-8e2f-4b753a7bb4e9,0489d218-765e-42b2-9815-fccfa55efa70,code_generation,Генерация кода,short,code,0,1,python_developer,Ты Python-разработчик.,,"Ограничения:
- Не используй внешние зависимости.
- Добавь комментарии к ключевым частям решения.","Напиши функцию на Python, которая {task}.","{""task"": ""проверяет, является ли строка палиндромом""}","Ты Python-разработчик.

Напиши функцию на Python, которая проверяет, является ли строка палиндромом.

Ограничения:
- Не используй внешние зависимости.
- Добавь комментарии к ключевым частям решения.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def is_palindrome(s: str) -> bool:
    """"""
    Проверяет, является ли строка палиндромом.

    Параметры:
    s (str): строка для проверки

    Возвращает:
    bool: True, если строка является палиндромом, False - иначе
    """"""
    return s == s[::-1]  # сравниваем строку с её реверсом
```",2026-04-25T17:49:03,1.653,306,0,0,0.0,0,0,0,0.0,0,1,1,9,300,0.9804,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.1852,0.43,0.3825,0.66,0.77,0.6133,,,,,,,,,,1.0
33668369-903e-4ba7-af6c-5f13d19791c7,ed7361ee-30e7-484d-8a3d-d145f6a405d9,code_generation,Генерация кода,short,code,0,1,qa_engineer,Ты QA-инженер.,,"Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.","Напиши функцию на Python, которая {task}.","{""task"": ""считывает JSON-файл и возвращает его содержимое""}","Ты QA-инженер.

Напиши функцию на Python, которая считывает JSON-файл и возвращает его содержимое.

Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def read_json(file_path):
    with open(file_path, 'r', encoding='utf-8') as file:
        return json.load(file)
```",2026-04-25T17:49:05,1.3929,125,0,0,0.0,0,0,0,0.0,0,1,1,3,119,0.952,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0357,0.35,0.3825,0.61,0.67,0.5627,,,,,,,,,,1.0
44cfae44-7e44-41b5-af59-3c7c67696caf,fef4d834-4cd1-4f11-bb71-53fd6478107e,code_generation,Генерация кода,short,code,0,1,computer_science_teacher,Ты преподаватель информатики.,,"Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.",Реализуй на Python решение задачи: {task}.,"{""task"": ""сортирует список чисел по возрастанию""}","Ты преподаватель информатики.

Реализуй на Python решение задачи: сортирует список чисел по возрастанию.

Ограничения:
- Используй только стандартную библиотеку Python.
- Избегай избыточно сложных конструкций.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
numbers = [5, 3, 8, 1, 4]
numbers.sort()
print(numbers)
```",2026-04-25T17:49:06,1.1936,67,0,0,0.0,0,0,0,0.0,0,1,1,3,61,0.9104,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.35,0.3825,0.46,0.55,0.5033,,,,,,,,,,1.0
1fc5aad8-a12f-4b54-a454-018aad477bc9,bf21a020-8d2f-497b-bf33-3c36096a160e,code_generation,Генерация кода,short,code,1,0,none,,Это учебная задача для начинающего разработчика.,,Реализуй на Python решение задачи: {task}.,"{""task"": ""подсчитывает количество слов в строке""}","Контекст: Это учебная задача для начинающего разработчика.

Реализуй на Python решение задачи: подсчитывает количество слов в строке.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def count_words(s):
    return len(s.split())
```",2026-04-25T17:49:07,0.8568,56,0,0,0.0,0,0,0,0.0,0,1,1,2,50,0.8929,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.28,0.3625,0.61,0.55,0.5165,,,,,,,,,,1.0
2f812e4e-bf4b-4613-93b3-5476a492fce5,e0b9e1cb-0dfe-471f-aef2-b9f110de64a2,code_generation,Генерация кода,short,code,1,0,python_developer,Ты Python-разработчик.,Это часть backend-сервиса.,,Реализуй на Python решение задачи: {task}.,"{""task"": ""находит максимальный элемент в списке""}","Ты Python-разработчик.

Контекст: Это часть backend-сервиса.

Реализуй на Python решение задачи: находит максимальный элемент в списке.

Ответ должен быть кратким.",yandexgpt-lite,latest,"```
def find_max(lst):
    return max(lst)
```",2026-04-25T17:49:07,0.8669,49,0,0,0.0,0,0,0,0.0,0,1,1,2,43,0.8776,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.28,0.3625,0.61,0.55,0.5165,,,,,,,,,,1.0
